company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
381523,에이피트바이오(주),2.0,4,2.0,2.3,3.0,2.8,2.0,2.3,25%,25%,25%,에이피트바이오
253482,동성사무기기(주),4.0,1,4.0,4.0,4.0,4.0,3.0,4.0,100%,100%,0%,동성사무기기
13126,인터베스트(주),3.0,1,3.0,3.0,3.0,2.0,3.0,3.0,0%,0%,0%,인터베스트
335788,(주)더스카이팜,3.1,16,3.1,2.8,2.7,2.8,2.8,2.4,19%,44%,13%,카이팜
396957,(주)디에스티이엔지,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,디에스티이엔지
68858,씨엠글로벌,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,씨엠글로벌
200966,중앙통신건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,중앙통신건설
190051,금성케이엔티(주),1.7,3,1.7,2.0,2.0,1.0,2.0,1.3,0%,0%,0%,금성케이엔티
1972,한황산업(주),2.1,41,2.1,2.4,1.7,2.1,2.2,2.0,15%,29%,22%,황산
256209,사회복지법인아모레퍼시픽복지재단,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,사회복지법인아모레퍼시픽복지재단
341810,(주)에이브앱,3.2,6,3.2,3.0,3.3,3.5,3.0,3.0,83%,67%,33%,에이브앱
127426,덕산테코피아(주),2.5,145,2.5,2.6,2.4,2.3,2.6,2.2,26%,40%,30%,덕산
54691,(주)차이커뮤니케이션,2.4,649,2.4,2.1,2.0,2.3,2.9,2.0,24%,35%,21%,차이커뮤니케이션
294674,디에이치(주),2.1,50,2.1,2.7,1.5,1.8,2.8,1.7,12%,31%,6%,미주
266831,신우시앤시코리아(주),5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,시앤시코리아
453791,(주)드림시티건설,1.0,1,1.0,3.0,3.0,1.0,1.0,1.0,0%,0%,0%,드림시티건설
20061,에이투케이에이치에스,3.7,3,3.7,3.7,3.3,4.3,4.0,3.0,33%,100%,33%,케이에이치에스
56675,제이스테크,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이스테크
319175,바비레드 (매장),3.1,32,3.1,2.7,2.8,3.4,3.1,2.8,53%,50%,50%,티씨엔씨
260309,에코원테크놀로지(주),3.0,1,3.0,3.0,4.0,3.0,3.0,3.0,0%,0%,0%,에코원테크놀로지
274756,지씨텍(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,지씨텍
47012,(주)휴먼아이씨티,2.6,67,2.6,2.6,3.2,2.8,2.7,2.1,21%,37%,22%,휴먼아이
44083,그린스타,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,그린스타
322688,(주)팡홀딩스,2.1,21,2.1,1.7,4.0,2.3,2.4,1.6,0%,10%,0%,팡홀딩스
5757,토탈미디어그램(주),2.8,20,2.8,2.5,2.6,2.5,3.1,2.5,35%,59%,15%,토탈미디어그램
313492,(주)엠스토리허브,2.6,68,2.6,2.2,2.8,2.7,2.6,2.5,29%,57%,34%,엠스토리허브
111689,극동정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,극동정보통신
127565,에스씨티(주),3.0,63,3.0,2.4,3.0,2.8,3.0,2.6,37%,43%,19%,에스씨티
101306,다움테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,다움테크
235352,동성삼우국제여행사(주),2.7,6,2.7,1.8,2.5,2.7,3.0,2.8,33%,50%,17%,국제여행사
48292,(주)한성아이티엘,3.5,63,3.5,3.4,2.9,3.3,3.4,2.8,68%,54%,21%,이티엘
323711,(주)남원터보원,2.7,18,2.7,2.5,2.9,2.3,2.6,2.2,22%,33%,22%,남원터보원
201786,동양투어(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동양투어
18596,영보직물(주),2.4,7,2.4,1.9,3.9,2.6,2.6,2.6,29%,50%,0%,영보직물
149216,제이콥아이앤디(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이콥아이앤디
398757,(주)에스엔피테크이엔지,1.0,2,1.0,3.0,3.0,2.0,5.0,1.0,0%,0%,0%,에스엔피테크
387377,(주)제이브로스,2.6,9,2.6,2.2,2.3,2.4,2.2,1.9,0%,22%,0%,제이브로
399029,(주)메디칼에코넷아시아퍼시픽,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,메디칼에코넷아시아퍼시픽
389507,(주)큐어라이프,2.5,2,2.5,1.5,2.5,3.0,3.0,3.0,50%,50%,50%,큐어라이프
238857,(주)인포랑,2.3,69,2.3,1.8,2.6,2.4,2.5,1.9,22%,22%,10%,인포랑
107804,에스지종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에스지종합건설
298443,은진하이테크(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,은진하이테크
70076,(주)신성화학,2.1,9,2.1,2.2,2.6,1.7,2.7,2.3,11%,44%,11%,신성화학
369035,(재)코리아문화수도조직위원회,1.5,2,1.5,1.5,1.5,1.0,2.5,2.0,0%,50%,0%,코리아문화수도조직위원회
272864,세기유통(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세기유통
395714,김포에이치병원,2.7,7,2.7,2.6,3.0,2.4,2.0,2.3,43%,43%,29%,포에이치
310023,한국기술지원(주),2.5,4,2.5,2.0,2.3,2.3,3.3,2.0,25%,0%,0%,한국기술지원
366025,엘에이치주거복지정보(주),2.8,64,2.8,2.4,3.5,2.7,2.2,2.3,27%,38%,13%,엘에이치주거복지정보
413574,세무법인 송정티앤씨,2.7,3,2.7,1.3,1.7,2.0,2.7,2.0,0%,33%,0%,세무법인송정 공단지점(세무사 박행웅)
82582,(주)디에스단석,2.2,345,2.2,2.4,1.9,1.9,2.3,2.0,15%,33%,32%,단석산업 군산1공장
386747,(주)목경,2.0,1,2.0,4.0,4.0,1.0,1.0,3.0,0%,0%,100%,목경
417270,(주)브러쉬이십일,2.0,1,2.0,1.0,1.0,3.0,1.0,1.0,0%,0%,0%,브러쉬이십일
78988,(주)레드커뮤니케이션즈,2.0,89,2.0,1.6,1.9,2.1,2.3,1.6,16%,14%,3%,레드커뮤니케이션즈
271591,현대무역(주),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,현대무역
285153,제드윈(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제드윈
